Compound;SMILES;y
KL-1;O=C(O)C2=CN(C1CC1)c3cc(c(F)cc3(C2(=O)))Cl;1.324
KL-2;OC(=O)C2=CN(C1CC1)c3c(F)c(c(F)cc3(C2(=O)))N4CCSCC4;1.836
KL-3;OC(=O)C2=CN(c1ccc(F)cc1)c3cc(c(F)cc3(C2(=O)))Cl;3.172
KL-4;O=C([O-])C2=CN(c1ccc(F)cc1)c3cc(c(F)cc3(C2(=O)))Cl;1.802
KL-5;CCN3C=C(C(O)=O)C(=O)c2cc(F)c(NCCN1CCOCC1)c(F)c23;1.064
KL-6;CCN2C=C(C(O)=O)C(=O)c1cc(F)c(cc12)N3CCN(CC3)S(=O)(=O)c4ccc(cc4)Br;1.429
KL-7;CCN2C=C(C(O)=O)C(=O)c1cc(F)c(NC(C)C)c(F)c12;2.439
KL-8;CCN2C=C(C(O)=O)C(=O)c1cc(F)c(cc12)N3CCN(CC3)C(=O)c4ccc(cc4)c5ccccc5;1.205
KL-9;CCN2C=C(C(O)=O)C(=O)c1cc(F)c(cc12)N3CCN(CC3)C(=O)c4c(cccc4(OC))OC;1.109
KL-10;CCOC(=O)C1=CN(CC)c2cc(c(F)cc2(C1(=O)))N3CCOCC3;0.762000000000001
KL-11;CCCNc1c(F)cc2C(=O)C(=CN(CC)c2(c1(F)))C(O)=O;1.129
KL-12;CCCCNc1c(F)cc2C(=O)C(=CN(CC)c2(c1(F)))C(O)=O;1.475
DFX;C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O;0.698
ENX;CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F;1.612
GTX;CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F;0.909
GMX;CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F;0.71
LVX;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;0.721
LMX;CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O;0.774000000000001
NDX;CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O;1.147
NRX;CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O;0.792000000000001
OFX;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O;0.807
PZX;CC1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O;0.863
PFX;CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O;0.828
